token,etc,hint,hidden,category,scenario,explanation,New Column
rampage,,,,,,"They have guns, but you have a berzerker's rage.",
sooty,,,,internet,-,Trick a girl you meet online.,
sunken,,,,marriage,-,Marry ????.,
lead,,"Plucked from the web, but not saved...",,internet,-,Violate a girl you meet online.,
fortunate,,"Prince from the east, binds several...",,marriage,-,Marry several as prince.,
sapphire,,,,-,-,Visit your harem.,
sunny,,,,marriage,-,Marry Princess.,
pearl,,Plucked from the web...,,internet,-,Seduce a girl you meet online.,
opal,,"The mighty serpentine hand plucks what it wants, when it wants it...",,event,-,Summon a girl.,
square,,"Seen by your eyes, cast into the invisible web... many eyes...",,porn,-,Upload a video.,
cloth,,,,event,-,Make money from porn.,
oedipal,,,,marriage,*,Marry your own mother.,
onyx,,,,?,?,Add a girl to your collection.,
clay,,,,event,???,Make money from brothel.,
sharp,,A human life... worth all... or very little...,,event,alley,Sell slave.,
bullet,,They trade in her flesh... their blood spilled quietly.,,event,alley,Get the alley traders killed.,
tainted,,She is a sheep among wolves... take her from the wolves and deliver her to the lone wolf.,,Waid,alley,Deliver Lizzy to Waid.,
ceramic,,"The red mist consumes his mind, the pawns crushed and the queen weeps.",,kill,alley,Get the alley thugs killed.,
diamond,,,,alleytrade ,alley,Sell your loved one as a slave.,
chain,,One found in darkness... exchanged for another.,,alleytrade ,alley,Sell the slave you found to the slave traders.,
mercantile,,,,,alley,Engage in the slave trade.,
cryptic,,Two forms exchanged for one form... ,,event,alley,Try to buy girl from traders with credit.,
lost,,,,alleytrade ,alley,Buy back a girl from the slave traders.,
reptilian,,,,marriage,alley,Marry Lizzy.,
ruby,,"Seen by many, take for yourself, cast aside.",,alleytrade ,alley,Sell a celebrity as a slave.,
gold,,,,alleytrade ,alley,Sell an emperor's concubine.,
silver,,,,event,alley,Sell your wife to slavers.,
pitch,,Collect them... like tokens...,,event,alley,Buy all girls from alley traders.,
brittle,,"The caring young lamb, bind her to you",,marriage,babysitter,Marry Britney.,
cedar,,Shame her in front of her charge... ,,goodrape,babysitter,Please the babysitter violently.,
innocent,,,,porn,babysitter,Have her watch a better movie.,
shoddy,,Her first time... a faillure...,,goodsex,babysitter,Disappoint a babysitter.,
slippery,,The lamb delivered to the jaws of the wolf...,,Waid,babysitter,Deliver babysitter to Waid.,
guilty,,,,porn,babysitter,"Have her watch a different movie, but don't impress her.",
argile,,,,,babysitter,Get friendly with one of your daughters' friends.,
unfinished,,The man she idolized... disappointed her...,,goodsex,babysitter,Disappoint a babysitter while posing as her idol.,
familiar,,,,hypno,babysitter,Hypnotize a babysitter.,
neon,,The mind... forms a bridge where the tongue fails...,,hypno,bait,Use mind powers to understand a foreign language.,
orange,,,,marriage,bar,Marry Donna.,
oral,,,,Waid,bar,Get Donna a job as soon as you meet her.,
carved,,,,item,bar,Enjoy some drugs with a girl at a bar.,
trick,,The wolf will find a use for she who is cast aside...,,Waid,bar,Deliver Donna to Waid.,
glass,,"In the small water room, I himyou with her. A white powder, more come to join.",,item,bar,"Enjoy some drugs with a girl at a bar, and meet her friends.",
casino,,,,?,brothel,Bring a deadly weapon to the brothel.,
damp,,,,event,brothel,Seduce the brothel receptionist.,
small,,,,marriage,brothel,Marry Charity Smith.,
elastic,,,,goodsex,brothel,Please Mandy.,
shiny,,,,event,brothel,Pay the brothel receptionist.,
plastic,,She welcomes and old friend...,,hypno,brothel,Hypnotize Cindy.,
tarnished,,,,slave,brothel,Try to sell slave to brothel.,
grinded,,,,item,brothel,Use Kylie like exercise equipment.,
training,,,,event,brothel,Maybe an sexpert will train a novice.,
barbie,,,,,brothel,Find the secret whore.,
cinnamon,,,,marriage,brothel,Marry Cindy.,
redundant,,,,?,brothel,Give Kylie a bad day at work but it gets better in the end.,
roasted,,,,marriage,brothel,Marry Kylie,
